10110110 c0 4b cf 9d 45 48 0b 4d 39 fc 7e da 09 b3 b6 2e 
00100110 70 7c ff ff e8 01 84 e5 e3 4a 0f 77 46 29 26 cc 
11110010 d1 a1 8b 4d c7 e1 bc fe 81 e4 c6 7f 51 1b f2 3b 
00101010 65 d8 44 c4 ea d1 fe ca 59 98 f0 7a 8c 0e 2a 33 
00101000 ff c0 ea 16 1e 1e ba c7 58 f9 fb 02 b5 fe 28 4e 
11011101 83 01 9d 25 61 f3 dc 6a d5 52 ee db 21 27 dd 34 
01111100 71 7c d9 4d 65 06 d2 83 24 66 cb 17 9a 14 7c 4a 
01011011 67 9d ba 8f aa 41 b0 ad 2b 82 ab 47 fb 67 5b 00 
00010001 bb ce 06 83 24 7e 1d 03 b4 e6 0e 8c 3b 98 11 98 
01100011 e7 58 3d 90 d6 d7 c7 ea 76 b9 1b f6 a2 f3 63 cb 
00010000 9f c4 f0 7c 28 ad 8f e0 d2 7c f6 78 69 75 10 81 
11100001 a7 c2 06 1a d2 8f ee 35 6c 12 28 64 ad 04 e1 9a 
01101001 a7 45 ed e4 0a 08 1d d1 91 22 6e 54 2c 4d 69 43 
10110010 86 60 e4 cf 64 32 e5 d8 f1 15 a4 18 b4 46 b2 44 
01011110 28 a7 a8 d8 e1 a2 65 d5 cd ec 09 bb 2e c0 5e 25 
11010011 cc bf ce 47 2c 4d 66 57 38 1f fe d4 02 0f d3 08 
01110100 ad 4c e5 5f fa 87 d6 5f de 6d 82 c0 d4 8d 74 83 
11111100 2e 18 08 a6 b6 7c 88 20 a5 50 bc e6 4f 6b fc 0b 
01100001 4f f8 9a 94 36 15 03 ee b3 0e 80 52 40 83 61 34 
01010001 a3 17 c2 5f d5 8d de d6 d6 bc ae 81 16 8b 51 25 
00110011 0d 02 aa 12 a2 85 e8 b0 a1 78 48 af f3 04 33 30 
11010111 57 7e c0 39 a5 be b3 08 ec c3 62 9b 99 c6 d7 60 
01110000 d1 88 85 02 c1 0e 60 63 12 6b e8 f0 30 c6 70 79 
10011101 bb 7d 83 f6 ad ad 1d 10 64 a6 d9 c8 14 47 9d ab 
00011011 68 1f 45 15 07 0a 4e bb 84 52 a5 91 40 72 1b e8 
01010101 3e 67 57 71 d3 c0 7f 6d 63 6e e2 79 2c 55 55 d4 
00001010 74 b6 7b a4 96 83 13 98 cb 67 f8 23 88 29 0a 3f 
00010010 ac 8a 77 98 6c e7 4f 45 4d 56 0d ee aa 1b 12 53 
00010000 54 50 2e f8 05 e2 64 2d 0e 29 d7 db 8d 92 10 73 
11111110 f1 ef a7 df e5 c1 0a 4b 9d 67 67 17 e8 59 fe 78 
00010001 14 bf 05 0c 7b 04 04 13 95 cb 5c 26 02 c4 11 29 
10000001 c2 85 da 1a b4 e9 dd 81 f0 b7 6f cd 52 c6 81 9c 
10011101 0b 6f 27 ef 5b bc 7c f3 0f af bc d9 99 34 9d 76 
00100001 2e 5f d4 f3 45 a7 a4 ec 45 5a 00 bf 0a 38 21 fc 
10001011 61 8b d5 e3 3a ba 35 1c 83 b5 80 e3 fe 47 8b eb 
01100101 5a 22 27 86 e1 00 d5 d0 c2 8a 63 22 e7 c0 65 b8 
00111011 bc c2 91 f2 44 26 95 98 8d d9 8e 6d c3 f0 3b 5c 
10101101 50 60 19 26 3a ad 6f f7 b3 01 9e 0e de c3 ad 3b 
10011001 5d 63 4f 3d 0b 3c c1 df ea 6c 05 a7 5b b9 99 2a 
10000001 3a 34 a3 04 5a 41 bd 48 10 9e 7d 05 91 53 81 f0 
11001011 3d 89 6e fd 19 69 ca 63 03 77 dc 91 76 73 cb ac 
10110100 a2 ae b5 bc 5e ac a8 60 4f dd 33 cc e6 93 b4 51 
01000000 ad f3 aa 9c ba 1e 4c ed 45 de b2 25 4e 98 40 d7 
01001011 c8 11 89 6c ff d2 cf ea bb 48 de 41 47 b1 4b 90 
11001010 d5 01 b5 63 b8 59 a2 15 7d 1d 76 2f 52 b5 ca 55 
10110011 8b 93 8b af 05 63 22 6f 77 98 4c 01 19 94 b3 f0 
11010110 c1 68 56 47 50 08 8e 65 03 60 59 4a ee 48 d6 6a 
01100111 bd b6 d2 c0 48 0f 9a 50 2e 5d f4 ea 4e 52 67 f2 
11011001 bf e2 b4 7f 4b 93 d2 e6 1a cf af b6 7d 15 d9 59 
10111101 c2 66 3e ae 93 93 e2 7a aa 49 83 27 09 a8 bd 00 
00101010 87 51 ad f7 0e d4 f4 24 27 2d b9 f8 db a7 2a 2d 
11000011 3c db a0 3b 02 69 d6 ab c4 8f 6b 07 a9 17 c3 74 
11001001 40 f4 dd 71 fe c3 66 a1 b0 c2 0f 1c 6f b3 c9 54 
01000110 25 8f 06 cb a4 76 02 40 d9 54 f3 bf ad 2d 46 19 
00111100 fe 3d f8 72 49 35 a8 e0 60 68 12 43 e6 9b 3c 0e 
01010011 2a b6 23 7e df fc d6 5c 31 8d 32 8d 78 af 53 7e 
01001000 9a 4a 7b 10 54 b3 be a7 05 3c d3 f9 cf 7b 48 89 
10001000 83 51 12 d7 dd 1c a6 67 d1 9d 3d 0e 4d 07 88 ce 
00000111 58 bb 53 9b d9 80 8f 7a 22 ac 6c 2d 02 06 07 6c 
10101101 be 2a b9 46 8d 05 be 9b 0d 94 c6 e9 83 31 ad 5e 
00000100 be e6 6d d4 89 48 48 d0 d1 d0 20 38 63 a5 04 17 
01100010 7d 17 bf 61 e1 1f 3e 69 a3 74 84 da b9 c9 62 7b 
10111101 19 02 ef 24 c4 aa 99 24 df e9 c7 50 4e a3 bd 07 
01010101 cb 4f f2 98 e0 43 01 b3 e4 84 8a 9b 51 82 55 02 
10000010 39 e2 c8 ba b9 5d 91 d0 12 78 d8 bb 7f 31 82 74 
01011001 ab 6e 77 38 1f 5e 05 19 9f b8 6e e1 2a 53 59 73 
10101101 04 6a b1 fc fb ff bb 1e b6 f9 21 93 83 73 ad 7f 
00110010 ad 2a 67 0c 2a 5f 9b 84 1d 49 3c 04 95 15 32 65 
10111101 e5 bd 03 7c a3 8d d3 e9 88 38 b0 e9 80 eb bd 45 
00101011 27 8d 6d 67 85 29 8d b7 d1 54 fc d8 35 2d 2b 79 
10010001 cc 36 d8 ca 7b e1 4d dc 90 cf 4e 15 ef f0 91 43 
00101101 4d ff a7 f1 71 05 a1 63 67 b6 eb 38 5e 86 2d b0 
10100010 45 5d 0b 85 e5 25 c6 dd 98 88 ba 01 a1 49 a2 fe 
11100101 e5 f1 41 66 2f 07 02 23 f0 ab 53 e5 96 08 e5 64 
01011110 41 98 38 7f 65 21 7e d7 68 ad 73 64 54 91 5e 80 
10011111 73 be cb 07 53 64 e8 cd c7 6e 05 d0 c8 cb 9f 61 
00110000 f4 06 d9 b7 61 5f 81 a7 2a 96 ea 78 8b 01 30 8d 
01100001 74 7c 61 d5 6a f6 63 5d 58 c6 f9 b3 88 20 61 53 
11110111 d8 03 f3 c3 52 d2 25 fa 51 33 21 9c 29 8f f7 94 
11110010 6b 8b 0e 94 97 f8 79 07 aa 1f 71 cc e8 f7 f2 bb 
01100000 03 16 f4 63 ac 2d cb 40 1c 5b 73 48 84 8f 60 38 
00111000 94 cd da 93 9e 3f 91 a2 1d 8a 59 c0 06 2b 38 95 
11001001 dd d5 b4 71 42 e7 64 13 1c d4 6c a0 4c c8 c9 0a 
11010110 6e 7a 52 86 c5 cc 3f 5e f3 a2 48 70 bf 95 d6 84 
00000011 0b 3f 7b cd 43 89 4e 28 5b e7 c7 9e 14 4c 03 b7 
11001101 5c b5 5b e7 bc 4d ca b1 e8 94 2e 0b 7e 53 cd 99 
10101101 bc df 83 83 7f 68 6e 0e 33 02 2c ba fa f9 ad 69 
11000110 dd b5 b3 1f 04 a1 21 7e 37 ea bd f4 22 d1 c6 b7 
10111110 19 5b 76 a7 e6 7d 7e 74 6c a3 cc 13 af 6f be 47 
01010001 3b 8d 14 37 8f 86 9c 92 d8 5f 0d 26 b2 a3 51 59 
01111110 50 1c 76 34 a9 ad 30 f5 2b 5a 95 08 b0 b3 7e 0c 
00000001 f3 02 f4 b8 db d4 28 87 17 3c ba 58 07 9b 01 38 
11001101 de 73 a3 f8 de a0 37 b9 77 fb 09 72 ac 70 cd c7 
00000010 8e 80 31 28 75 61 eb 75 70 80 99 49 0c 3f 02 b9 
11100100 82 73 dd e0 0c e8 1d 3c 74 40 f8 24 7c f2 e4 04 
00111111 12 97 ec 76 d6 21 85 27 b2 d0 8f c8 ce 95 3f 19 
00001111 95 dd cf 30 a3 57 4a 0b 43 bb df 46 29 58 0f b8 
01101100 a4 af 2c 6c ff 99 41 e0 ff a4 6f d2 48 f6 6c 53 
11111010 5a 06 b7 79 9f be ed 47 b3 8f 3b 52 73 8d fa 02 
00101100 4a 74 d1 54 c5 bc 9a 85 6c f7 36 b2 e5 12 2c 76 
01111001 42 e8 84 ef 91 3b 6f 81 a6 43 86 54 2a e0 79 e9 
11011111 f9 a0 99 8a 38 ad 01 56 9f 92 5f 49 9f 0b df 68 
10000000 ab 58 fb 4b d4 82 02 24 3f 09 87 78 b3 27 80 c3 
01100001 a4 bc 1f c1 d3 95 12 b5 3b 44 12 c1 86 91 61 fb 
10101001 49 21 b2 e0 30 1a 55 9f 30 d1 81 ba 1d cd a9 3f 
11100111 82 f5 5c 9c a3 61 7d b7 ad 55 b0 7f 6e 10 e7 56 
01110011 22 a8 34 4c 8b 20 9e 35 49 5c 4f 38 e5 bc 73 61 
01101000 2f 65 1c a1 b2 42 20 db 45 22 0f e6 75 8d 68 7c 
00000110 6b 83 a3 9f 67 32 f4 11 6f 7d 36 57 49 34 06 c2 
10110011 7a 4c bb 99 3b fa 04 33 4b 3c 82 ee 2a 52 b3 01 
11001001 04 1a 8a f4 e3 77 ef b1 9a 0d 50 15 a7 7e c9 d1 
11100111 7e 19 4e a7 31 b8 e0 6d cd b6 79 a0 d0 6b e7 a5 
10000110 a1 80 6d 77 9c a9 68 c2 5a 3a 74 fa 67 eb 86 db 
00110001 d4 eb f5 d0 45 b1 a9 f8 b9 12 60 57 70 8e 31 17 
11010011 09 f0 ad 2a 98 f6 ab f7 46 b2 c9 60 7f ee d3 66 
10111011 87 ec f8 0a d7 5d 9c 43 19 0c 96 24 ad 61 bb dd 
00010110 f7 34 91 e3 07 2a ca 97 91 c2 2d 30 bf 5c 16 4d 
10101100 d3 75 a8 3d 17 a6 8b 3e 45 e4 da 3c 25 e1 ac e3 
10011011 f9 26 b5 a2 37 53 24 02 48 20 58 8d 20 0f 9b 87 
00001011 2d de 08 05 67 8e 8e 8a af 79 c2 2b 08 ad 0b ff 
00011110 2b db 6a 07 08 43 bb 3d e1 ff 6e 11 1e 9b 1e 8e 
01000100 db 60 54 c5 69 30 bd 8e 93 12 a8 8f 7c df 44 5d 
01010101 27 48 4f ad 82 25 2c 0b 8a 19 0e f7 02 24 55 c3 
01000000 16 06 4a b8 e3 3d ce 95 e6 6b f4 36 15 c5 40 60 
11000001 85 43 ca e8 07 76 01 ac 8b 3c dd 77 36 0a c1 b9 
01001001 ed 47 bc 2f 53 09 92 82 55 95 24 8a de 62 49 fe 
00000111 e6 cf 40 c0 b2 6d d8 86 8c 98 6b fc 3d 29 07 11 
01110100 32 40 7a 7e a4 d4 cd 7c 43 e6 bd 95 4a 76 74 be 
00111000 4e 44 9d 03 4f 17 17 89 31 79 38 45 14 1f 38 70 
00101001 7b 85 23 aa 0c 1a 33 d3 c3 ea 47 f5 d9 5a 29 03 
10101110 30 c6 2c ca 31 1f 8f 17 6f 0f 71 65 e3 ac ae 24 
00000101 4a 66 7e bb 0a f8 ac bf 58 3d 0b f5 7c 45 05 b3 
00101011 3f ea 68 77 d8 56 e1 bf 07 b3 a3 f3 f5 2a 2b 81 
00000011 94 cb 9b 80 9d 93 9d cf 96 45 3c 6d 58 8c 03 a3 
11011100 85 ff 72 13 d1 c6 d6 e4 8d f4 82 0d fc 56 dc 27 
00011110 9c b4 73 e4 e5 23 00 67 04 72 67 ec 07 b0 1e a0 
01011100 66 34 46 c7 c3 8d 39 b9 a4 83 fe 6b 7d 05 5c d4 
01110011 64 0f 37 2e d4 28 86 95 1e 37 a4 aa 2e e0 73 f3 
11110111 b9 e7 34 7f 64 6a 22 07 36 c3 4e 6d 09 fd f7 73 
01111001 ae d7 66 7f 40 16 57 13 96 14 f5 35 b2 bc 79 37 
10010000 d7 a2 de 14 6f 22 24 d3 c4 21 78 ac 41 10 90 a0 
10010010 04 1d 70 9c 21 bf 18 61 90 36 ba d0 35 7c 92 1d 
00111000 40 e4 55 b0 f3 4e aa 9f 19 74 d4 d1 bc 44 38 3b 
01100001 22 da a0 f6 58 9f 5c b9 0e b7 ea 35 ac 46 61 69 
10101100 09 06 58 47 c5 00 00 a4 b2 78 f0 cd 97 7e ac 46 
01111110 bd 88 64 1e d2 16 1b 89 fc 9f 19 f1 53 a6 7e f6 
00001011 56 cd a8 8e 4d 0d 45 96 09 20 7d 34 f6 ab 0b dc 
10101001 3c cc a8 42 38 3a 26 d7 82 1f 65 97 54 6e a9 d8 
11111000 cf f9 9f 9a ad 9f 9f 51 06 e2 48 63 5c 98 f8 df 
11101000 94 bd 0c 67 89 1a f5 40 09 7f bd 72 2f 78 e8 89 
01111000 3d d0 a0 9f e6 2b bc ca 7c 46 5d 39 4f 5b 78 de 
00100010 cb 68 65 fd 3b 06 95 20 5d f2 ed 98 31 b0 22 ed 
00111111 12 64 d4 bc 34 18 c7 20 63 c5 43 64 1a 4c 3f d2 
10011010 01 8f 17 8b 95 c5 f9 c1 56 f7 12 ff 8c 70 9a 7f 
01111011 a4 38 34 26 a4 13 e0 5f e7 df 68 66 23 1d 7b 16 
10010110 4a 02 4a ae a5 28 dc d1 25 c3 e7 e6 a9 b5 96 a5 
00010010 5a 6b 3b 6b df d4 22 d5 63 c7 10 49 de cb 12 cf 
11100101 76 4e 1c f2 b8 53 47 f8 8d b7 eb 86 44 a4 e5 81 
01111100 9e 0a a0 8a 5c da ee ee 8a 85 e1 78 f7 29 7c 1a 
10011111 e8 78 ee 60 00 57 13 b0 05 c0 3b cd 1c e9 9f e7 
10011110 44 0a fd d0 53 ec aa 0b 20 0a bc ec 74 1e 9e 68 
11001100 56 5f 98 ab 51 7d 54 e5 ae cf c9 4b 68 e3 cc 14 
10000101 29 45 0e c4 3c 55 f2 b6 7c 4b 14 a6 fb 92 85 7f 
10001000 18 af 1f f0 d8 a6 0b 1f f0 b5 19 c3 af 42 88 7e 
00000110 ff cf d5 32 f8 10 5f 62 8c 39 e8 0e b2 28 06 21 
00001001 cd 5f b5 88 00 17 7a bd cc 19 a4 e5 f0 93 09 52 
01011111 c7 d6 36 7e 59 7f a2 1e fa 5b fb 34 1e 36 5f fe 
00111101 75 bf b9 e9 33 90 a3 44 be 50 f4 13 d2 7a 3d dc 
10101110 29 a4 63 08 6c 47 23 38 81 45 77 60 7f 44 ae 9d 
10100001 3e 8d 34 a3 d4 c0 d8 1c f8 ab 6e a3 d6 71 a1 a0 
00111011 ce 08 c6 5c 5c 5a 14 a3 f4 95 2e af a5 b1 3b 48 
11101110 2f e5 b3 f2 e9 b3 26 6d 77 eb 9d 5e 13 e1 ee a8 
10011110 eb 7e 61 4c 32 3a 8f f2 a5 5a ee 97 a7 57 9e fd 
01110101 d4 b5 7a 0a 13 c1 af 5f 3f ee 92 e8 fa 98 75 21 
11001101 fa 8a 15 83 db 91 dc 92 ba 19 70 e8 46 92 cd f2 
01000110 c3 d9 dd 6d 0c b0 c9 4f 72 28 09 b7 45 38 46 73 
00001110 34 0d e2 08 65 0d a4 60 01 53 af 70 79 4d 0e 0f 
01001001 2b 94 cc 05 be 10 ca 78 9a 3f 18 64 6f d2 49 bd 
01010000 04 45 8f 8b c2 07 69 60 12 f4 93 22 b8 63 50 25 
01000110 56 45 8d 52 40 68 e2 15 f4 03 8c 4e bf e2 46 e2 
10100101 8c 0f 42 46 0c 5e 49 50 2d e8 ec 87 8f e5 a5 2d 
11001000 27 5e 52 08 18 b4 cf f6 ca 45 91 8d 58 26 c8 a1 
10101111 89 be 73 b3 7e 2e 4d 0f 8d 9d 3d 2f 97 d7 af 44 
00010011 1b 5b d6 3a 73 8a d3 4d 24 0f 87 3d 3e e6 13 86 
10100000 49 c1 14 b3 1b 17 2d 12 6d d3 10 6a 36 3a a0 b3 
01101000 6d 2f 37 50 b7 a0 90 34 44 eb 20 07 99 8a 68 0c 
00011000 6e cc 75 49 2d 25 8e a2 cd 76 48 ce 39 d8 18 77 
01010111 04 ef 6c 39 95 57 40 e4 cd d0 9e 46 7e 63 57 af 
11100110 a1 80 6f 23 04 dc 52 c6 c0 7d 9b 9e 61 d3 e6 a4 
01010100 c6 4c b4 43 e3 48 70 9f 62 54 bc 0b 13 47 54 06 
10110011 24 ad 29 bb 99 99 f6 34 72 45 aa c9 1a c9 b3 ca 
00000001 88 2a ab 41 d0 18 fd 43 b8 a2 a7 06 bd 76 01 a8 
10100001 f8 9d 35 38 73 6d 55 a4 a6 01 b1 d6 58 3a a1 e3 
01011110 ff 7e aa 41 f7 27 a5 59 3c 81 b4 a1 23 fa 5e df 
11010101 0b b2 24 f0 8b 2b cd 42 1e ce 3f ce 57 40 d5 0c 
10111100 e3 d9 fa 30 b0 38 4b 5a c1 e6 c8 b9 c0 cb bc 60 
11000100 61 65 c2 10 91 58 5a 5c 12 62 54 66 8a 5a c4 98 
00011000 9e 8e 75 c0 17 4b e4 25 44 9f f6 80 45 21 18 31 
11111101 e3 88 0d 88 9c 00 70 39 3b 04 4e 6a 44 49 fd 0f 
10000100 bc fc eb b8 a2 11 83 d6 35 32 05 c7 0a cb 84 17 
01001111 e9 1a 87 b6 8d d4 b7 55 cc 0e 42 0b a9 cf 4f 2f 
00000100 d0 b1 10 88 b6 de d6 91 a4 9f 62 6b 67 ca 04 5c 
11101000 2e 6a 29 be be 4d b8 af ef b3 b5 58 7c e2 e8 0b 
11010000 c5 93 c7 7c ad ce e9 fb d6 c5 3d 2f fa 2b d0 d5 
11001101 63 39 2c 49 c0 2e 48 fc a5 18 d6 54 71 d8 cd 8f 
01001100 49 38 db be e1 62 27 34 6e ad 20 3b b5 3c 4c 55 
11101100 1a 81 0f a6 2c 27 77 5c f9 e4 7a e9 55 c2 ec bd 
00001110 56 7e b6 66 87 06 dc fb 31 ee e6 aa d1 bd 0e a9 
01100000 55 c3 f9 c3 63 46 55 1f e6 27 0e dc e4 2e 60 37 
01001001 59 f2 6d 66 47 92 e7 9b 31 f3 9a 10 f7 9c 49 c5 
10111010 cc bf d4 cf ca 40 03 5a 00 71 95 6e 4b 4d ba eb 
01010101 83 c8 5c ef e4 64 7e 89 92 56 3e 77 aa 19 55 d6 
00110011 04 ba fb 78 58 ff 9e 60 07 24 8f 41 cf d5 33 fb 
01010001 8b 54 ca 22 b8 5f da 7d 16 b1 9f e0 83 de 51 e5 
10001000 d8 21 19 43 8b 85 57 8c 0a 6e f9 cf 9a 21 88 7f 
11001001 e4 ec 85 37 57 92 a7 01 4f 0b b5 64 d0 3f c9 f3 
01101000 fa 57 2d 80 71 ee db b7 70 06 0b 1c 6e 87 68 0c 
00001111 5a 29 73 f9 6f 32 17 58 eb 6e 94 10 48 ab 0f 70 
01100000 f9 a1 da 92 62 a8 39 e2 bb 63 53 98 95 5c 60 3a 
11100010 2b 3d 77 85 56 66 6d 97 33 b9 0c fa 36 f2 e2 e7 
11011101 a6 8c 3a de 88 63 cf dd bc 6a 77 9f 1d 2f dd 02 
11000000 83 66 c3 57 d3 dd 4d 75 e5 7d 00 86 b5 9c c0 2e 
00111100 a9 ed a7 7a 81 e6 fb 08 e2 70 a6 ac da dc 3c 24 
10000100 19 1f 96 00 be 1d c7 b3 8a 80 32 23 b0 24 84 79 
11000001 79 a5 83 17 9f eb dc 9b 9c 7b 10 ba b8 f6 c1 cb 
11010010 77 55 63 88 3f 5c 2a 82 7d c8 24 cf d0 7a d2 87 
00110000 34 7d 49 88 ef 7f c5 a2 b7 3b 76 00 cc 1b 30 a7 
00011011 86 4e 88 10 76 d6 e8 60 64 7a 9e be ea fb 1b 9c 
10111110 dc 9c 22 31 4a 24 bd 79 98 10 99 58 ce 89 be 8a 
10111110 00 b1 52 42 46 04 e7 35 9e a0 ac 1d 9b 0c be 46 
01010001 46 f2 1b 2d 4a 43 0d d0 bb cc a3 be f6 63 51 f1 
11101000 3e 29 d2 4e 0b c0 cd d8 84 e5 96 cf c0 9b e8 eb 
11100001 50 3e a5 c0 9f 1d 6e a5 9d cc a7 fa fb f7 e1 a2 
10001111 8a a7 74 24 90 2f 7c e2 54 4f f4 59 9c 19 8f 44 
01011110 86 2e 63 a1 e2 ff fa f5 25 2f 65 47 f9 0b 5e 41 
00010010 e7 50 4e 67 09 d0 4f 93 e8 03 c9 24 de c4 12 98 
00001011 1e 5f 25 77 a9 da 11 20 5e 9b 31 33 16 68 0b 36 
01001100 a1 f3 10 6c 1a c9 c7 09 1a 77 fd c8 61 15 4c cf 
10010110 60 53 cb a5 19 93 d3 bb 17 bd 57 c2 6c d5 96 d7 
00110110 37 5c e0 ca 00 52 a8 bd 83 dc 72 f0 56 43 36 86 
11010100 51 04 8a 85 c8 8c 08 56 fc 44 3a e1 eb a1 d4 db 
10000101 26 30 7f de 6f 8e bf cb e5 dc 80 6f fa c1 85 fd 
11010001 6e a3 d7 da bb 72 5f 88 37 cb e6 f3 7d 2d d1 40 
11010101 1d 04 ce 18 cd e3 a5 4a 4a ed 65 ad 9a 5b d5 fa 
00001011 ef fb 85 1b 23 5b 00 0c a1 99 b4 4e 1a 58 0b b6 
10100001 a2 93 79 4d 21 32 90 d5 da 8f d3 7e 8c e9 a1 ed 
11001100 92 a1 c8 5e e4 c6 3e f9 32 08 f5 1f 6f 19 cc 66 
01111111 02 94 06 74 b0 ec e9 48 45 c5 be b2 a3 ed 7f a4 
11101101 8d b9 7a 74 7b f0 71 0a c3 99 3b aa 78 d6 ed 47 
00111000 2f 8e 6c eb 79 bb ff 43 46 2d d0 e9 c4 44 38 62 
10111010 25 48 ea 68 3f 9b 60 b9 fc 01 4e 37 d8 c1 ba b2 
10110010 67 2f bc 2d 46 6a b0 73 97 39 e0 9b b3 8a b2 a8 
11001101 f8 b5 1e 43 f5 ce 12 39 37 33 80 29 91 dc cd 0e 
11011110 bf 50 f2 8a b2 1e 6c f1 02 b4 7b 59 b5 d9 de 7a 
