****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Fri Mar  8 23:45:56 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
aes_cipher_top                        3.05e-03 2.43e-03 2.83e-06  5.48e-03 100.0
  sa31_reg_3_ (WDDLDFFMS)             4.84e-06 8.39e-07 2.12e-09  5.68e-06   0.1
  sa10_reg_4_ (WDDLDFFMS)             4.47e-06 7.72e-07 2.09e-09  5.25e-06   0.1
  sa31_reg_4_ (WDDLDFFMS)             4.69e-06 7.14e-07 2.12e-09  5.41e-06   0.1
  sa10_reg_5_ (WDDLDFFMS)             4.72e-06 4.67e-07 2.12e-09  5.19e-06   0.1
  sa00_reg_0_ (WDDLDFFMS)             4.38e-06 4.65e-07 2.09e-09  4.84e-06   0.1
  sa31_reg_5_ (WDDLDFFMS)             4.62e-06 5.39e-07 2.13e-09  5.16e-06   0.1
  sa21_reg_0_ (WDDLDFFMS)             4.07e-06 3.76e-07 2.04e-09  4.44e-06   0.1
  sa10_reg_6_ (WDDLDFFMS)             5.64e-06 3.07e-07 2.21e-09  5.95e-06   0.1
  sa00_reg_1_ (WDDLDFFMS)             4.26e-06 2.07e-06 2.09e-09  6.33e-06   0.1
  sa31_reg_6_ (WDDLDFFMS)             3.94e-06 4.19e-07 2.05e-09  4.36e-06   0.1
  sa21_reg_1_ (WDDLDFFMS)             3.96e-06 1.75e-06 2.05e-09  5.71e-06   0.1
  sa10_reg_7_ (WDDLDFFMS)             4.16e-06 1.52e-06 2.09e-09  5.68e-06   0.1
  sa00_reg_2_ (WDDLDFFMS)             4.74e-06 8.66e-07 2.12e-09  5.61e-06   0.1
  sa31_reg_7_ (WDDLDFFMS)             5.19e-06 1.27e-06 2.17e-09  6.46e-06   0.1
